Gene	Symbol	logFC	logCPM	PValue	FDR	UHR_Rep1	UHR_Rep2	UHR_Rep3	HBR_Rep1	HBR_Rep2	HBR_Rep3
ENSG00000221890	NPTXR	-3.38046819060651	10.9409184384621	1.61880539405777e-224	4.27555071724669e-223	68	59	49	383	442	392
ENSG00000128268	MGAT3	-4.17349369278362	10.3136541336616	2.83880695351866e-206	7.08124623405487e-205	33	14	23	252	321	268
ENSG00000100307	CBX7	-4.19623697567854	10.4433550571684	2.17103803137395e-204	5.13050566361528e-203	24	24	27	261	355	302
ENSG00000183741	CBX6	-2.04812827892445	12.20052772289	4.65218261278228e-193	1.04441499656962e-191	358	234	298	736	873	828
ENSG00000100219	XBP1	2.78087279249878	11.6234625842398	3.88283631084511e-188	8.30187382652122e-187	1016	619	720	64	91	71
ENSG00000128266	GNAZ	-3.82168134925391	10.1030326913153	1.55670869916876e-180	3.17710093603079e-179	33	17	26	230	260	225
ENSG00000241973	PI4KA	-2.23173130790081	12.5856991305939	3.042630411374e-179	5.93974371611706e-178	385	297	355	1043	1163	1033
ENSG00000100285	NEFH	-3.89630807278465	10.0543716754416	4.94157775327718e-162	9.24486838008938e-161	26	23	21	194	258	243
ENSG00000100316	RPL3	1.54037549108891	13.7597868260714	7.33657105348487e-155	1.31764816120588e-153	3988	2378	3021	653	754	716
ENSG00000225465	RFPL1S	-6.3744071159817	9.51425737231241	3.59175760250087e-146	6.20268909047266e-145	6	2	1	170	171	176
ENSG00000167037	SGSM1	-5.67196776228879	9.22569373633273	5.32632796473761e-142	8.85748613395254e-141	4	3	5	128	161	131
ENSG00000237517	DGCR5	-5.18144635799005	9.31901009088122	7.73556217581841e-142	1.24045264890802e-140	7	5	6	139	167	137
ENSG00000186732	MPPED1	-7.09291119982755	9.1377891567149	1.23747234038231e-135	1.91594855459192e-134	1	1	2	120	147	135
ENSG00000100345	MYH9	1.58671978403009	13.1600361087246	1.59347481485689e-133	2.38490063956914e-132	2586	1552	2046	420	479	457
ENSG00000219438	FAM19A5	-4.05245102448684	9.38600665275069	6.98425795870779e-122	1.01159091079348e-120	17	14	9	136	157	151
ENSG00000100097	LGALS1	2.2846175147396	11.282446947951	1.39577964752507e-113	1.95845331793361e-112	720	441	602	75	88	76
ENSG00000100346	CACNA1I	-6.90937584406949	8.95631941151564	1.46327424630599e-112	1.9909398078527e-111	2	2	0	99	129	126
ENSG00000099901	RANBP1	2.24679317863995	11.0024719214414	1.39102815750403e-107	1.83697541976268e-106	581	389	464	54	75	71
ENSG00000100241	SBF1	-1.41775126349196	12.1507226519128	1.05438207185514e-103	1.35262157217988e-102	487	310	391	638	809	656
ERCC-00108	ERCC-00108	2.18607424509477	11.7139272291898	3.87703044275611e-103	4.83551852443748e-102	923	614	834	109	111	125
ENSG00000075275	CELSR1	7.28737746688489	9.46128251618352	1.46887815116392e-94	1.78250348614216e-93	231	126	187	0	2	0
ENSG00000093009	CDC45	10.0050137491305	9.23698226266475	5.71571962625658e-93	6.75357397944528e-92	184	119	160	0	0	0
ENSG00000100297	MCM5	3.14940266905539	10.6622485370302	6.02741286534394e-93	6.939252247537e-92	513	271	422	26	30	33
ENSG00000166897	ELFN2	-3.41370714188899	9.23689447714953	4.24898166516674e-87	4.76948191914967e-86	19	9	26	115	148	121
ENSG00000182902	SLC25A18	-5.42666699125384	8.59521363147802	1.16411939484308e-84	1.27485270313303e-83	1	3	5	88	104	77
ENSG00000280623	PCAT14	7.82822259744459	9.1843826358244	6.48990170935961e-84	6.93801397024396e-83	168	121	155	0	0	1
ENSG00000100320	RBFOX2	-1.28782565274399	12.1187886863416	1.20858308445005e-83	1.26198559283273e-82	495	346	392	605	708	682
ENSG00000131100	ATP6V1E1	-1.58193842068835	11.2850383492955	1.17485363694225e-82	1.19888473406152e-81	239	173	196	381	445	381
ENSG00000211666	IGLV2-14	10.1663225065037	9.37809496492533	5.97077960105189e-79	5.95751120193845e-78	175	150	186	0	0	0
ENSG00000100412	ACO2	-1.36209951093273	11.5833624415382	8.08960911019176e-79	7.89616193581761e-78	331	227	270	423	525	463
ENSG00000100353	EIF3D	1.82884269770076	11.3666305406499	5.38626227547077e-78	5.14559949294974e-77	705	463	608	94	110	127
ERCC-00002	ERCC-00002	-0.942495527710404	17.2693000241278	7.61746107239217e-76	7.12550004480017e-75	19987	12985	16992	18942	23626	21105
ENSG00000099937	SERPIND1	6.20450291207657	8.9293161703236	8.26005969870176e-75	7.56891184636141e-74	150	100	117	1	2	0
ERCC-00116	ERCC-00116	2.05675547378629	11.9394307259929	1.61119119576956e-73	1.44684969380106e-72	1025	709	1007	150	144	143
ENSG00000100362	PVALB	-3.1024235595385	8.99288344400782	5.29217882467995e-71	4.65919272996333e-70	24	16	15	96	120	99
ENSG00000128272	ATF4	1.16461340367414	12.3354930039581	7.68085885639633e-71	6.63212620484991e-70	1338	815	1048	288	350	305
ENSG00000172346	CSDC2	-5.68171668969238	8.29733441704555	2.71597510204272e-70	2.3008921147494e-69	4	2	0	68	89	62
ENSG00000133424	LARGE1	-2.0345047670957	10.023807656611	4.26394597574222e-69	3.54539211686714e-68	78	48	79	165	202	190
ENSG00000100354	TNRC6B	-1.1769923853931	11.9844635306374	2.47354999552407e-68	2.01931626907328e-67	503	303	383	561	654	561
ENSG00000243156	MICAL3	-1.70609955987107	11.0315809393521	4.36633475089674e-68	3.50086482705828e-67	187	119	176	294	378	371
ENSG00000168135	KCNJ4	-5.82276158093482	8.19503747565367	9.19737631105571e-67	7.24495081344564e-66	2	0	3	65	81	58
ENSG00000206195	DUXAP8	4.00034402684434	9.37173016719544	4.49871009854684e-66	3.48262212801298e-65	185	147	156	10	4	6
ENSG00000075218	GTSE1	5.38933286042724	8.81438749154634	3.54133853011124e-65	2.6950186441016e-64	134	92	109	2	2	1
ENSG00000128342	LIF	4.82137035998087	8.89927121699849	5.08664024011008e-64	3.80650244634904e-63	152	96	106	2	3	3
ERCC-00092	ERCC-00092	2.23177905781847	10.3771315411891	1.16833082550082e-63	8.59968099426012e-63	350	256	306	33	55	41
ENSG00000196419	XRCC6	1.01829706253733	12.5021316014112	1.7245232580992e-62	1.24888861755894e-61	1407	964	1110	360	409	370
ENSG00000184113	CLDN5	-7.70786270381428	8.14846403787558	5.58812399899222e-61	3.98264710404366e-60	0	1	0	60	85	56
ENSG00000100100	PIK3IP1	-2.58793046982866	9.33026446057537	7.64857314941484e-59	5.36595210013635e-58	41	24	29	103	152	121
ENSG00000040608	RTN4R	-3.28274292742086	8.58791018627617	4.44070365330725e-58	3.06750144666917e-57	18	8	11	69	91	81
ENSG00000185666	SYN3	-3.90702929979701	8.47452773700719	4.78067131846622e-58	3.25230518483535e-57	9	6	8	64	98	71
ENSG00000211679	IGLC3	9.28593419124322	8.55481462765634	2.61426469380983e-57	1.75194753361286e-56	125	65	92	0	0	0
ENSG00000183773	AIFM3	-3.99592048297001	8.55189720764546	6.26117636939692e-56	4.13421792626355e-55	7	7	9	80	76	91
ENSG00000241878	PISD	-1.6267224626991	10.3210313089186	1.22620508091888e-52	7.97921857003734e-52	132	81	96	184	231	217
ENSG00000100033	PRODH	-2.25591917871636	9.3821800469617	4.47243798257345e-51	2.86874950596497e-50	46	28	43	108	130	133
ENSG00000100242	SUN2	-1.28982088381491	11.5100899478347	1.23704822707083e-50	7.82302329513807e-50	338	186	294	391	504	427
ENSG00000239900	ADSL	1.89094170435612	10.0996716733061	3.34179025871097e-50	2.08397753633503e-49	316	183	226	40	44	45
ENSG00000100364	KIAA0930	-1.25345347194421	11.0284967543244	1.41806068130824e-49	8.72204446448496e-49	250	160	187	297	345	300
ENSG00000100030	MAPK1	-0.987408824565369	12.59039176698	4.81767462832536e-47	2.89936485134924e-46	821	486	652	734	940	891
ENSG00000073150	PANX2	-3.87671745860952	8.18616895946152	4.84303705681944e-47	2.89936485134924e-46	6	7	6	52	65	72
ENSG00000261675	RP5-1119A7.17	-8.84415948287219	7.61839224996872	3.74531350908908e-46	2.2126917968171e-45	0	0	0	40	55	42
ENSG00000099889	ARVCF	-1.97925329213145	9.41715080257423	2.77083117518021e-44	1.61571843851417e-43	68	31	40	116	132	115
ENSG00000185133	INPP5J	-3.73276211360575	8.13120882583561	5.12360249893657e-44	2.94935579746477e-43	4	4	12	56	73	51
ENSG00000138867	GUCD1	1.72116415770886	10.3928766597139	5.65031116865214e-43	3.21137938572761e-42	379	212	286	59	59	57
ENSG00000100077	GRK3	-1.45019019583214	10.556629549088	8.23112698328918e-43	4.61972001937105e-42	161	117	116	196	272	247
ENSG00000198832	SELM	-2.65439778732779	8.67411218224195	9.71913031653142e-43	5.38751791620075e-42	24	17	16	83	84	72
ENSG00000183628	DGCR6	-2.83325094748689	8.39241358502225	2.87365312025783e-41	1.5735003060924e-40	15	13	14	58	76	66
ENSG00000100403	ZC3H7B	-0.947583960690658	11.6980625086592	7.73871107272821e-41	4.18636297789755e-40	442	280	357	403	510	465
ENSG00000273032	DGCR9	-4.77947790836658	7.47309770478033	6.57233458063947e-39	3.51306931750848e-38	3	0	3	39	42	36
ENSG00000100196	KDELR3	4.96350350097583	8.40361668940416	3.03077546544909e-37	1.60096256939605e-36	86	83	77	2	2	1
ENSG00000100399	CHADL	-6.04697502949955	7.31442047795717	7.84803682091001e-37	4.09740527045185e-36	1	1	0	32	37	38
ENSG00000133454	MYO18B	8.79050418868143	8.07432306305446	1.0243935762158e-36	5.28681282437807e-36	71	68	58	0	0	0
ENSG00000183765	CHEK2	4.6073189859993	8.31823740633996	1.49147213651438e-36	7.6098976056245e-36	82	62	86	1	5	0
ENSG00000100330	MTMR3	-1.17377750117661	10.6278275791726	1.87969918103509e-36	9.48297676724445e-36	197	121	152	210	258	234
ENSG00000128340	RAC2	3.13022013007086	8.59064941926848	2.92373651788521e-36	1.45861966281162e-35	107	74	87	7	8	5
ENSG00000100302	RASD2	-2.80445742742189	8.30290292633222	6.58441827552377e-36	3.2487953908903e-35	13	12	15	52	78	57
ERCC-00003	ERCC-00003	-0.725283040272664	13.5334375655752	9.92492545366213e-36	4.8437951398851e-35	1742	1098	1338	1451	1583	1518
ENSG00000100300	TSPO	2.60072591850666	8.8904680658227	2.05644075965538e-35	9.92840753855124e-35	131	82	110	12	10	13
ENSG00000100027	YPEL1	-2.36234802962761	8.65049582480205	3.81638607418063e-34	1.82293334819904e-33	31	15	20	61	96	69
ENSG00000205593	DENND6B	-2.47054513964631	8.77586111290795	5.58276296202392e-34	2.63859007363025e-33	33	17	18	72	110	69
ENSG00000100065	CARD10	3.65945891779813	8.26010833927598	1.40878707058682e-33	6.5890145280571e-33	84	65	66	1	5	5
ENSG00000186976	EFCAB6	-4.75276816606145	7.22639233519069	4.50726914338984e-32	2.0863544797753e-31	3	0	2	29	36	32
ENSG00000185386	MAPK11	-2.26235572722427	8.5781216256151	7.96909135807527e-32	3.65114491813857e-31	21	20	25	56	82	73
ENSG00000221963	APOL6	1.54605380996338	10.2411577383805	8.68312904346811e-32	3.9381060005224e-31	328	189	251	63	54	56
ENSG00000279010	MIR4534	-1.48627485819788	9.77486250623261	2.68448174377062e-31	1.20533230295301e-30	92	71	63	137	156	127
ENSG00000166862	CACNG2	-8.46649773535115	7.26617069042183	1.92753099891521e-30	8.5689249357716e-30	0	0	0	31	30	44
ERCC-00043	ERCC-00043	-0.635789886890711	12.8390396866459	2.28529184735661e-30	1.00597650927757e-29	1089	725	866	854	979	923
ENSG00000100234	TIMP3	0.872097356439961	11.6625059593382	3.27757864212817e-30	1.42876971875296e-29	793	484	598	190	253	234
ERCC-00095	ERCC-00095	1.92288695916558	9.27681247813629	3.70058004094906e-30	1.59765426767897e-29	165	112	125	20	30	20
ENSG00000244509	APOBEC3C	3.60625534857008	8.08615561110236	4.15257929135208e-29	1.77572200173056e-28	82	47	60	4	3	3
ENSG00000133466	C1QTNF6	2.92541559001871	8.34247199857481	1.19420386766227e-28	5.0584673262298e-28	89	60	72	6	4	9
ENSG00000128203	ASPHD2	-2.73649537067464	8.55519575750956	2.78227136420084e-28	1.16751387151979e-27	19	10	21	56	72	94
ENSG00000169635	HIC2	1.95861553193315	9.42547535504806	3.3421053876517e-28	1.38944936949594e-27	207	106	138	26	24	26
ENSG00000183864	TOB2	-1.19841005892845	10.5004577730735	1.42080330254839e-27	5.85266681508466e-27	170	114	141	193	266	189
ENSG00000100129	EIF3L	0.864579370460174	11.6108879615897	1.57055128404351e-27	6.41070478668668e-27	731	459	611	207	233	214
ENSG00000214076	CPSF1P1	-3.08249055220334	7.65342642103884	1.61814537382639e-27	6.54547092655898e-27	6	5	10	40	40	40
ENSG00000100351	GRAP2	5.29640337735113	7.59851556983049	3.15393738437713e-27	1.26439096927262e-26	55	39	42	1	0	1
ERCC-00046	ERCC-00046	-0.661685577301798	13.6457148029349	1.90732047926766e-26	7.57864509018741e-26	1905	1252	1468	1574	1670	1583
ENSG00000099958	DERL3	3.93269329556085	7.91406386255754	2.16850442867483e-26	8.54086393399123e-26	67	39	62	2	1	4
ENSG00000100342	APOL1	2.85333771165563	8.27990972702399	2.23016654089779e-26	8.70734588576614e-26	78	60	72	4	9	6
ENSG00000100075	SLC25A1	1.78191287226776	9.69692715237043	6.82427418902565e-26	2.64146475075217e-25	208	126	201	26	44	33
ENSG00000070413	DGCR2	-0.977143020972866	11.1266568228535	9.97579255956457e-26	3.82831697371324e-25	297	163	262	294	341	303
ENSG00000185340	GAS2L1	-1.88790756567179	8.69191844566104	1.70760955389281e-25	6.49759906523619e-25	31	22	34	73	77	64
ENSG00000130638	ATXN10	-1.06440881655058	10.6113181813695	2.16452810966328e-25	8.16700101881355e-25	184	141	160	191	244	239
ENSG00000198792	TMEM184B	-0.974802832331491	10.572541568948	4.39800306958435e-24	1.64558614853615e-23	189	137	165	196	235	209
ERCC-00062	ERCC-00062	2.38638223709015	8.45214947121653	1.1080537700456e-23	4.11170365909485e-23	96	57	78	13	12	4
ENSG00000100162	CENPM	4.34986560313035	7.57834945501483	1.16450867698501e-23	4.28577373742844e-23	57	31	44	0	3	1
ENSG00000100003	SEC14L2	-1.91825097367812	8.44819871743057	1.17862409063544e-23	4.30245704630336e-23	26	19	27	49	72	60
ENSG00000198911	SREBF2	-0.788711087212992	11.9862864250548	1.55985285554156e-22	5.64817687208195e-22	572	343	491	452	634	524
ENSG00000070010	UFD1L	1.22094176959412	9.87228416587008	2.04914793810737e-22	7.36053939368167e-22	228	162	170	42	65	52
ENSG00000100426	ZBED4	1.46123187625454	9.58764711404586	7.49437183517822e-22	2.6706134555516e-21	181	142	150	29	40	45
ENSG00000100181	TPTEP1	1.91148328621359	8.7481912860796	1.15716314419571e-21	4.09107284837694e-21	113	73	88	18	16	14
ENSG00000100106	TRIOBP	1.67143701310501	9.41337144719932	1.4043810635122e-21	4.9263054493514e-21	179	108	144	39	24	26
ENSG00000099968	BCL2L13	-0.897249610270309	10.771225762884	1.5568775586928e-21	5.41889940971369e-21	233	158	191	199	269	251
ENSG00000161179	YDJC	1.83198246974207	9.10311510731231	2.18655373938208e-21	7.55202022294272e-21	152	79	121	16	25	24
ENSG00000100314	CABP7	-3.76942053433558	6.97585572924114	2.30578332970991e-21	7.90302835908204e-21	2	1	5	21	26	29
ENSG00000128159	TUBGCP6	-0.845490508001216	10.8113216596522	2.9470585492206e-21	1.00107490290034e-20	256	162	194	228	276	224
ENSG00000183307	CECR6	-2.99308026048593	7.38052758422272	2.96532209545091e-21	1.00107490290034e-20	9	5	4	25	42	30
ERCC-00131	ERCC-00131	1.73567620769264	9.2201960076997	4.25863604243508e-21	1.42696088287563e-20	153	91	134	19	36	20
ENSG00000100284	TOM1	-1.26240805875781	9.36443313613253	4.97415920213802e-21	1.65436850500739e-20	77	47	64	92	113	94
ERCC-00113	ERCC-00113	-0.493659660021632	14.9981666999724	7.03282023223317e-21	2.32186491490639e-20	4933	3342	4272	3548	4295	3890
ENSG00000100379	KCTD17	-2.30998183542546	8.28026332304224	2.10645713345153e-20	6.90364418189588e-20	26	15	11	38	69	65
ENSG00000100029	PES1	1.22291993741435	10.1574965875637	2.40315351578268e-20	7.81895600424945e-20	252	192	240	62	73	60
ENSG00000099960	SLC7A4	-5.19116453369695	6.57860457121891	3.96807863030735e-20	1.2817750395741e-19	1	0	1	19	25	15
ENSG00000272872	LL22NC03-N14H11.1	4.20391210518743	7.74872073864204	6.24050828678116e-20	2.0014201576891e-19	77	29	44	3	2	0
ENSG00000138944	KIAA1644	-0.971501134286449	10.2796686342972	2.03429421491866e-19	6.47800072693956e-19	160	109	133	147	203	173
ENSG00000100031	GGT1	2.36702710468888	8.1801397989046	3.30390606781841e-19	1.04468579186652e-18	83	44	62	6	10	8
ENSG00000100304	TTLL12	1.22652351072115	10.1691514880586	3.48570126033998e-19	1.09446144468018e-18	261	203	226	52	89	56
ERCC-00112	ERCC-00112	-0.862784546528694	10.6307145550909	2.81710100135672e-18	8.78387742784144e-18	214	158	163	180	244	222
ENSG00000100151	PICK1	-1.56961578548715	8.8319410735156	2.13768113556811e-17	6.61944020600056e-17	36	28	48	75	74	72
ENSG00000100028	SNRPD3	1.02703929837468	10.2776066895884	4.03847081281907e-17	1.24196807873682e-16	277	199	245	62	85	88
ENSG00000183785	TUBA8	-5.6516174526985	6.31862156098747	5.59934512828369e-17	1.71027616503359e-16	0	1	0	16	16	16
ENSG00000100368	CSF2RB	3.08826496673703	7.50170741610296	1.38081819260739e-16	4.18910384108595e-16	46	35	38	2	3	4
ENSG00000205704	LINC00634	-6.01080172398497	6.5997128641821	2.01798904605745e-16	6.08105423946172e-16	0	1	0	27	14	20
ENSG00000128191	DGCR8	0.908531977237857	10.1331751986182	7.1521767977716e-16	2.1408849214663e-15	257	166	215	66	94	65
ENSG00000159873	CCDC117	1.03988823152873	10.0119818361939	7.43395993734995e-16	2.21049537209942e-15	255	173	172	66	74	53
ENSG00000196236	XPNPEP3	1.21865323485274	9.33095394793648	9.6036845140287e-16	2.83687785973611e-15	150	106	124	30	41	37
ENSG00000186716	BCR	-0.767700668102463	11.0624924958347	2.48893453240654e-15	7.3041281375852e-15	310	186	255	221	338	289
ENSG00000099998	GGT5	-2.98728815714385	6.86344771507387	5.97978414202544e-15	1.74345654530482e-14	9	1	2	19	28	18
ENSG00000128165	ADM2	4.5203237648766	6.91418518594913	6.12939469850631e-15	1.77554723847054e-14	27	21	31	0	1	1
ENSG00000099953	MMP11	4.0831089508098	7.00260508468887	6.38648106020232e-15	1.83816025386592e-14	37	20	27	1	0	2
ENSG00000128285	MCHR1	-4.09303434756457	6.43221383683077	6.65854953524751e-15	1.90426034479371e-14	0	3	1	12	21	17
ENSG00000170638	TRABD	1.39108213522558	8.879373494633	6.76754837765998e-15	1.92318305162616e-14	112	79	91	23	27	21
ENSG00000184708	EIF4ENIF1	-1.1419705867199	9.27168169753164	7.43016351889679e-15	2.09820340879538e-14	67	58	60	88	96	87
ENSG00000278195	SSTR3	-2.23097371887272	7.68782554827593	1.20720337565961e-14	3.38771447294479e-14	13	11	11	28	35	47
ENSG00000133519	ZDHHC8P1	-4.06455344719093	6.41035064291548	2.36576705897984e-14	6.59769819554006e-14	0	1	3	19	16	14
ENSG00000182944	EWSR1	0.632433078561641	12.0382543405675	6.49819372483509e-14	1.80104258175985e-13	866	631	797	314	338	332
ENSG00000100292	HMOX1	1.71460023128895	8.4401350903537	7.76660532376617e-14	2.13939005544234e-13	82	51	81	13	18	12
ENSG00000100038	TOP3B	1.20593912724993	9.65644729280639	8.41010176495949e-14	2.30252176369928e-13	169	152	155	38	48	52
ENSG00000100060	MFNG	2.58890632659356	7.75167947364658	9.25079987513616e-14	2.51733887511281e-13	69	28	43	4	5	6
ENSG00000100276	RASL10A	-7.40447834809067	6.36474671955885	1.55275418679781e-13	4.19991945706154e-13	0	0	0	8	26	17
ERCC-00111	ERCC-00111	-0.546795382391433	12.1290866631191	1.60356042665282e-13	4.3113690513001e-13	660	481	555	523	627	498
ERCC-00076	ERCC-00076	-0.865928452553482	9.79014934855528	1.81671034958288e-13	4.85537468430187e-13	127	75	97	99	141	121
ENSG00000179750	APOBEC3B	5.10743205220511	6.69794209231853	2.68570316923298e-13	7.13538889340597e-13	25	23	19	1	0	0
ENSG00000100023	PPIL2	0.959852512335167	9.98531634721223	1.4513258897107e-12	3.83320779105943e-12	229	140	211	63	64	70
ENSG00000241360	PDXP	-2.41834329328101	6.9580462764121	2.7447664309357e-12	7.20701828941597e-12	8	4	6	20	23	22
ENSG00000197182	MIRLET7BHG	-1.49756479607313	8.82095634340067	3.36786179738567e-12	8.79168573852422e-12	43	41	30	53	100	64
ENSG00000100239	PPP6R2	-0.905345200169411	10.4244903696115	4.82562612229471e-12	1.25243128838747e-11	182	122	152	138	210	220
ERCC-00145	ERCC-00145	-0.482450649441126	12.2279671864493	5.84931974748312e-12	1.50939342909191e-11	773	490	608	486	690	558
ENSG00000183963	SMTN	1.20729562442105	9.24248801135736	1.67749349863631e-11	4.30396903364402e-11	135	85	136	32	36	34
ENSG00000100146	SOX10	-0.850164636935242	9.67281097256612	2.71255830127991e-11	6.92010612087887e-11	116	72	89	87	131	113
ENSG00000184792	OSBP2	-1.09613827243915	9.4449679519591	2.77189573367789e-11	7.03153211537499e-11	96	42	77	105	114	83
ENSG00000093000	NUP50	0.610993520684265	10.8468863015244	3.57673914559784e-11	9.02222402456984e-11	393	284	313	125	159	146
ENSG00000234965	SHISA8	-4.53811506186143	6.47569473647985	4.35077066346458e-11	1.09133856307017e-10	0	0	3	22	23	8
ENSG00000198951	NAGA	1.22894958874218	9.29436118775094	4.37607309678054e-11	1.0915871224747e-10	139	104	127	22	35	48
ENSG00000100325	ASCC2	1.1351924376225	9.0614503593971	4.65386900909347e-11	1.15446805805689e-10	121	77	111	29	33	31
ENSG00000253352	TUG1	0.506438327171413	11.6313453869932	8.98844556395966e-11	2.21747915286697e-10	729	457	499	248	286	249
ENSG00000240972	MIF	1.09315189411513	10.0292746243517	1.12689163540117e-10	2.76488712729577e-10	230	135	248	61	70	59
ENSG00000128228	SDF2L1	1.88668559830899	7.67647052131551	1.85573533172409e-10	4.52839763013106e-10	50	32	42	5	14	3
ENSG00000099910	KLHL22	-1.0140701888992	8.92590599268449	3.42009603075868e-10	8.30066550167918e-10	58	41	54	56	75	74
ENSG00000184319	RPL23AP82	-1.42210390583208	8.18021300132589	3.48105247531218e-10	8.40318581406004e-10	26	19	30	32	53	49
ENSG00000100228	RAB36	-1.75664494015038	7.36575729518042	4.17673693710126e-10	1.00286357473715e-09	15	8	12	22	26	31
ENSG00000100422	CERK	-0.596063652319023	10.8646247852161	4.53454789539925e-10	1.08298510906078e-09	284	180	235	203	240	256
ENSG00000128242	GAL3ST1	-2.85635160957161	6.43131463334181	4.60365064572176e-10	1.09367150260797e-09	3	3	3	17	13	15
ENSG00000075234	TTC38	1.24629261643742	8.51680943436808	5.06371471844117e-10	1.19663574135794e-09	80	61	71	20	23	16
ENSG00000197077	KIAA1671	-0.657916389170237	10.0942880392252	5.37238126279074e-10	1.26293151151468e-09	160	98	142	129	157	132
ENSG00000100344	PNPLA3	2.44067007094009	7.1036656581553	7.14038522703507e-10	1.66980883694726e-09	31	25	28	5	3	2
ENSG00000188636	LDOC1L	-0.685336403318492	10.6054530369193	8.05893351240206e-10	1.87485033526867e-09	237	148	180	174	257	172
ENSG00000128335	APOL2	-0.738709504238774	9.84817120248153	8.26021124675677e-10	1.91177054113082e-09	126	102	98	101	137	123
ENSG00000128309	MPST	1.10753547525938	9.08814059546752	8.77688814153801e-10	2.0209347566926e-09	129	73	112	34	29	33
ERCC-00074	ERCC-00074	-0.347640602688013	16.6152086298094	1.0995353421169e-09	2.51883351331881e-09	15684	11616	13175	10486	12406	11471
ENSG00000196588	MKL1	-0.903907323745817	9.64135225755529	1.15374563554545e-09	2.62960299675079e-09	116	68	82	121	118	89
ENSG00000100243	CYB5R3	0.56917535224293	10.7197521789845	1.8762916972163e-09	4.25482309116221e-09	362	240	296	120	157	124
ERCC-00078	ERCC-00078	-1.10900379714805	8.4129584285694	2.7307312089888e-09	6.16129805445212e-09	45	25	32	41	50	55
ENSG00000100410	PHF5A	1.20987992043846	8.94677752619256	5.00206851843133e-09	1.12296438238783e-08	132	75	82	33	33	16
ENSG00000242247	ARFGAP3	0.857439909803436	9.71114694706834	6.34082253997622e-09	1.41643249773598e-08	193	145	129	56	67	48
ENSG00000244486	SCARF2	2.4743751331618	7.12979205054515	7.07690510738446e-09	1.57303484812655e-08	32	19	35	6	4	0
ENSG00000100418	DESI1	-0.668856142980773	10.2125126162001	7.11498816448678e-09	1.57370920485446e-08	178	126	128	123	179	154
ENSG00000100216	TOMM22	0.787075731547466	9.63856054823156	8.05617129775738e-09	1.77314750622209e-08	174	109	155	51	67	50
ENSG00000069998	CECR5	1.18714402474887	9.16764903307767	8.62700763079719e-09	1.88952508596485e-08	123	76	137	25	40	33
ENSG00000273253	RP3-402G11.26	-3.41080789457611	5.93950594994036	1.12608355306033e-08	2.45442483167033e-08	2	0	2	12	11	8
ERCC-00022	ERCC-00022	-0.676836077074084	10.274788896114	1.16904795639233e-08	2.53576102618433e-08	201	99	153	149	164	163
ENSG00000128311	TST	1.26615929432068	8.40962228090468	1.46000757620011e-08	3.15165096977813e-08	88	59	50	17	20	17
ENSG00000239713	APOBEC3G	2.25445107159082	7.07490510923975	1.5523227960538e-08	3.33489442788592e-08	38	22	21	4	4	3
ENSG00000271127	LL22NC03-N64E9.1	4.47305597226893	6.1847368465859	3.66201889284899e-08	7.82974515661522e-08	15	9	19	0	1	0
ENSG00000100092	SH3BP1	1.28197911175419	8.20398547232007	5.93668309390592e-08	1.26330365363211e-07	77	40	53	18	13	15
